date,value
2023-01-01,1141
2023-01-02,1228
2023-01-03,1228
2023-01-04,1183
2023-01-05,1153
2023-01-06,1093
2023-01-07,1019
2023-01-08,1054
2023-01-09,1120
2023-01-10,1086
2023-01-11,1015
2023-01-12,992
2023-01-13,935
2023-01-14,869
2023-01-15,872
2023-01-16,917
2023-01-17,885
2023-01-18,858
2023-01-19,832
2023-01-20,793
2023-01-21,738
2023-01-22,749
2023-01-23,788
2023-01-24,736
2023-01-25,692
2023-01-26,695
2023-01-27,685
2023-01-28,632
2023-01-29,643
2023-01-30,698
2023-01-31,683
2023-02-01,690
2023-02-02,679
2023-02-03,674
2023-02-04,656
2023-02-05,679
2023-02-06,731
2023-02-07,729
2023-02-08,720
2023-02-09,746
2023-02-10,758
2023-02-11,748
2023-02-12,772
2023-02-13,845
2023-02-14,837
2023-02-15,836
2023-02-16,848
2023-02-17,867
2023-02-18,853
2023-02-19,889
2023-02-20,985
2023-02-21,981
2023-02-22,1003
2023-02-23,1031
2023-02-24,1048
2023-02-25,1046
2023-02-26,1092
2023-02-27,1216
2023-02-28,1250
2023-03-01,1243
2023-03-02,1261
2023-03-03,1272
2023-03-04,1243
2023-03-05,1268
2023-03-06,1411
2023-03-07,1409
2023-03-08,1396
2023-03-09,1359
2023-03-10,1361
2023-03-11,1290
2023-03-12,1333
2023-03-13,1449
2023-03-14,1427
2023-03-15,1417
2023-03-16,1383
2023-03-17,1356
2023-03-18,1295
2023-03-19,1334
2023-03-20,1416
2023-03-21,1364
2023-03-22,1337
2023-03-23,1290
2023-03-24,1239
2023-03-25,1175
2023-03-26,1192
2023-03-27,1256
2023-03-28,1201
2023-03-29,1162
2023-03-30,1133
2023-03-31,1114
2023-04-01,1035
2023-04-02,1041
2023-04-03,1086
2023-04-04,1038
2023-04-05,1010
2023-04-06,984
2023-04-07,976
2023-04-08,912
2023-04-09,900
2023-04-10,909
2023-04-11,959
2023-04-12,940
2023-04-13,899
2023-04-14,844
2023-04-15,795
2023-04-16,786
2023-04-17,826
2023-04-18,816
2023-04-19,790
2023-04-20,786
2023-04-21,754
2023-04-22,725
2023-04-23,726
2023-04-24,757
2023-04-25,735
2023-04-26,699
2023-04-27,647
2023-04-28,660
2023-04-29,624
2023-04-30,637
2023-05-01,661
2023-05-02,626
2023-05-03,609
2023-05-04,575
2023-05-05,562
2023-05-06,557
2023-05-07,562
2023-05-08,569
2023-05-09,549
2023-05-10,537
2023-05-11,508
2023-05-12,491
