date,value
2023-01-01,54
2023-01-02,58
2023-01-03,58
2023-01-04,58
2023-01-05,62
2023-01-06,67
2023-01-07,53
2023-01-08,57
2023-01-09,54
2023-01-10,48
2023-01-11,48
2023-01-12,45
2023-01-13,48
2023-01-14,47
2023-01-15,41
2023-01-16,43
2023-01-17,45
2023-01-18,40
2023-01-19,37
2023-01-20,34
2023-01-21,30
2023-01-22,26
2023-01-23,32
2023-01-24,31
2023-01-25,26
2023-01-26,20
2023-01-27,19
2023-01-28,20
2023-01-29,20
2023-01-30,22
2023-01-31,21
2023-02-01,21
2023-02-02,20
2023-02-03,20
2023-02-04,19
2023-02-05,18
2023-02-06,21
2023-02-07,19
2023-02-08,25
2023-02-09,27
2023-02-10,22
2023-02-11,20
2023-02-12,18
2023-02-13,16
2023-02-14,18
2023-02-15,24
2023-02-16,27
2023-02-17,25
2023-02-18,24
2023-02-19,29
2023-02-20,36
2023-02-21,38
2023-02-22,37
2023-02-23,36
2023-02-24,31
2023-02-25,34
2023-02-26,35
2023-02-27,46
2023-02-28,56
2023-03-01,55
2023-03-02,55
2023-03-03,57
2023-03-04,50
2023-03-05,52
2023-03-06,60
2023-03-07,71
2023-03-08,59
2023-03-09,55
2023-03-10,58
2023-03-11,58
2023-03-12,59
2023-03-13,62
2023-03-14,62
2023-03-15,57
2023-03-16,64
2023-03-17,55
2023-03-18,48
2023-03-19,48
2023-03-20,57
2023-03-21,63
2023-03-22,57
2023-03-23,56
2023-03-24,51
2023-03-25,46
2023-03-26,42
2023-03-27,49
2023-03-28,59
2023-03-29,54
2023-03-30,51
2023-03-31,50
2023-04-01,48
2023-04-02,49
2023-04-03,52
2023-04-04,43
2023-04-05,37
2023-04-06,41
2023-04-07,39
2023-04-08,39
2023-04-09,38
2023-04-10,39
2023-04-11,37
2023-04-12,37
2023-04-13,36
2023-04-14,35
2023-04-15,33
2023-04-16,33
2023-04-17,34
2023-04-18,34
2023-04-19,29
2023-04-20,29
2023-04-21,28
2023-04-22,27
2023-04-23,32
2023-04-24,32
2023-04-25,32
2023-04-26,32
2023-04-27,31
2023-04-28,32
2023-04-29,32
2023-04-30,31
2023-05-01,33
2023-05-02,33
2023-05-03,31
2023-05-04,34
2023-05-05,35
2023-05-06,35
2023-05-07,32
2023-05-08,32
2023-05-09,30
2023-05-10,26
2023-05-11,25
2023-05-12,25
2023-05-13,28
2023-05-14,29
2023-05-15,29
2023-05-16,27
2023-05-17,26
2023-05-18,25
2023-05-19,24
2023-05-20,25
2023-05-21,22
2023-05-22,21
2023-05-23,20
2023-05-24,21
2023-05-25,21
2023-05-26,20
2023-05-27,20
2023-05-28,20
2023-05-29,22
2023-05-30,23
2023-05-31,23
2023-06-01,22
2023-06-02,22
2023-06-03,21
2023-06-04,22
2023-06-05,24
2023-06-06,22
2023-06-07,23
2023-06-08,25
2023-06-09,25
2023-06-10,24
2023-06-11,23
2023-06-12,24
2023-06-13,24
2023-06-14,26
2023-06-15,25
2023-06-16,25
