idx,PRIMARY,SECONDARY,OTHER
"'23, wk2",45.833333333333336,20.833333333333332,33.333333333333336
"'23, wk3",29.41176470588235,35.294117647058826,35.294117647058826
"'23, wk4",28.571428571428573,38.095238095238095,33.333333333333336
"'23, wk5",60.0,13.333333333333334,26.666666666666668
"'23, wk6",16.666666666666668,61.111111111111114,22.22222222222222
"'23, wk7",43.47826086956522,30.434782608695652,26.08695652173913
"'23, wk8",54.285714285714285,31.428571428571427,14.285714285714286
"'23, wk9",48.07692307692308,32.69230769230769,19.23076923076923
"'23, wk10",48.214285714285715,23.214285714285715,28.571428571428573
"'23, wk11",40.54054054054054,35.13513513513514,24.324324324324323
"'23, wk12",33.333333333333336,35.8974358974359,30.76923076923077
"'23, wk13",37.5,50.0,12.5
"'23, wk14",100.0,0.0,0.0
